task,context,task_id,env
"Создай функцию СоздатьДвиженияРегистраПродажи(ДокументСсылка), которая удаляет текущие движения документа и записывает новые движения регистра накопления «Продажи» 
по табличной части «Товары» документа ""РасходТовара""","{
  ""Catalogs"": [
    {
      ""id"": ""ИсходящиеПисьма"",
      ""name"": ""Исходящие письма"",
      ""Attributes"": [
        {
          ""id"": ""Дата"",
          ""name"": ""Дата"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Получатель"",
          ""name"": ""Получатель"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Содержимое"",
          ""name"": ""Содержимое"",
          ""types"": []
        },
        {
          ""id"": ""Текст"",
          ""name"": ""Текст"",
          ""types"": [
            {
              ""type"": ""String"",
              ""StringQualifiers"": ""0""
            }
          ]
        },
        {
          ""id"": ""Контрагент"",
          ""name"": ""Контрагент"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Контрагенты""
            }
          ]
        }
      ],
      ""TabularSections"": [
        {
          ""id"": ""Получатели"",
          ""name"": ""Получатели"",
          ""Attributes"": [
            {
              ""id"": ""ЭлектроннаяПочта"",
              ""name"": ""Электронная почта"",
              ""types"": [
                {
                  ""type"": ""String"",
                  ""StringQualifiers"": ""1000""
                }
              ]
            }
          ]
        }
      ]
    }
  ]
}",task_011,server
"Создай функцию ЗаменитьНоменклатуру(НоменклатураИсточник, НоменклатураЗамены, ДатаС, ДатаПо), которая находит документы ""Заказ"" в заданном интервале и в табличной части ""Товары"" 
заменяет номенклатуру НоменклатураИсточник на НоменклатураЗамены, оставляяя все прочие реквизиты низменными. Если в документе была хоть одна замена, и джокумент был проведен, документ перепроводится. 
Если документ помечен на удаление, пропускаем его. ","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_012,server
"Создай функцию РасчетКомиссииМенеджера(ТаблицаКомиссий, Процент, ДатаС, ДатаПо), которая находит документы ""Заказ"" в заданном интервале и вычисляет комиссию менеджера исходя из сумм в табличной части Товары
1) Смотрим только проведенные заказы
2) Сумма заказа - это сумма всех строк по реквизиту Сумма
3) Комиссия менеджера - сумма всех заказов менеджера (реквизит Автор) в периоде, умноженная на Процент
Функция должна заполнить таблицу ТаблицаКомиссий, где должно быть три колонки: Менеджер (из реквизита Автор), СуммаЗаказов, Комиссия. Менеджер в таблице должен быть уникальным, один менеджер - одна строка ","{
  ""Documents"": [
    {
      ""id"": ""Заказ"",
      ""properties"": [
        ""Номер"": ""string"",
        ""Дата"": ""date"",
        ""Клиент"": ""Ref.Контрагенты"",
        ""Склад"": ""Ref.Склады"",
        ""Автор"": ""Ref.Пользователи"",
      ],
      ""tabularSections"": [
        {
          ""Товары"": [
            ""Товар"": ""Ref.Товары"",
            ""Количество"": ""number"",
            ""Цена"": ""number"",
            ""Сумма"": ""number""
          ]
        }
      ]
    }
  ]
}",task_013,server
"Создай функцию ПолучитьШиринуВысотуКартинкиИзФайлаJPEG(ИмяФайла), которая считывает jpeg файл и возвращает структуру с данными 
{ ""Высота"": <высота картинки в пикселах>, ""Ширина"": <ширина картинки в пикселах>} ",,task_014,server
"Создай функцию ИзвлечьПартииФИФО(ТаблицаПартий, Сумма), которая возвращает таблицу партий на заданную сумму.
1) ТаблицаПартий имеет колонки ""Партия"", ""Дата"" типа Дата+Время, ""Сумма"" типа Число(14, 2)      
2) Нужно вернуть таблицу с аналогичными колонками, в которой будет список партий, идущих во времени первыми, которые в сумме дают Сумма
3) Если сумма накопленныех партий превышают требуемую, сумму последней по времени партии нужно подогнать, чтобы общаяя сумма сошлась с требуемым значением",,task_015,server
"Создай функцию ДополнитьТаблицуЗначениямиИзВторой(Таблица1, Таблица2, КолонкаУникальности), которая добавляет в начало первой ТЗ значения из второй ТЗ с обеспечением уникальности значения в колонке КолонкаУникальности
1) колонки обеих ТЗ совпадают   
2) Значения в КолонкаУникальности заполнены в обеих таблицах
",,task_016,server
"Создай функцию ОбъектВСтруктуру(ОбъектДанных) принимает на вход объект и возвращает структуру с данными полученными из этого объекта 
1) Если у объекта есть табличные части, реквизиты и значения каждой табличной части должны быть представлены как массив со структурами
2) Стандартные реквизиты (Код, Наименование, Дата, и т.д.) тоже должный быть в структуре ответа
3) Общий вид выходной структуры 
{ ""Реквизит1"": ЗначениеРеквизита1, 
...    
""РеквизитN"": ЗначениеРеквизитаN,
""ТабличныеЧасти"": [  
	{ 
		""ИмяТабличнойЧасти1"": [ 
			{
				""Реквизит1ТабличнойЧасти1"": ЗначениеРеквизита1ВСтроке1,     
				""Реквизит2ТабличнойЧасти1"": ЗначениеРеквизита2ВСтроке1,  
				...
			},
			{
				""Реквизит1ТабличнойЧасти1"": ЗначениеРеквизита1ВСтроке2,     
				""Реквизит2ТабличнойЧасти1"": ЗначениеРеквизита2ВСтроке2,  
				...
			},	
		]
	}
]
}",,task_017,server
"Создай функцию СкачкиЦен(Процент) Которая возвращает таблицу значений с колонками Товар, ЦенаБыла, ЦенаСтала, ДатаИзменения. 
В таблицу помещаются все ситуации, когда рост цен от одной записи к другой по одному товару больше чем Процент. Использовать запрос","{
  ""InformationRegisters"": [
    {
      ""id"": ""ЦеныТоваров"",
      ""name"": ""Цены товаров"",
      ""InformationRegisterPeriodicity"": ""Day"",
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Товар"",
          ""name"": ""Товар"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Товары""
            }
          ]
        },
        {
          ""id"": ""ВидЦен"",
          ""name"": ""Вид цен"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.ВидыЦен""
            }
          ]
        }
      ],
      ""Resources"": [
        {
          ""id"": ""Цена"",
          ""name"": ""Цена"",
          ""types"": [
            {
              ""type"": ""Number"",
              ""NumberQualifiers"": ""10.2""
            }
          ]
        }
      ]
    }
  ]
}",task_018,server
"Создай функцию ПересеченияРемонтов() которая возвращает пересечения периода ремонтов разных складов из регистра сведений ПериодыРемонтаСкладов
Возвращает таблицу значений с колонками Склад1, Склад2, НачалоПериода, КонецПериода. 
Где Склад1 и Склад2 - значения двух складов, периоды которых пересекаются, 
НачалоПериода и КонецПериода - начало и конец периодов пересечения.
Пример 
""Склад новый"" - ремонт с 12.08.2025 по 24.08.2025  
""Склад старый"" - ремонт с 22.08.2025 по 04.09.2025 

Результат: 
Склад1: ""Склад новый""
Склад2: ""Склад старый""   
НачалоПериода: 22.08.2025 
КонецПериода: 24.08.2025    

Результирующую таблицу отсортировать по возрастанию НачалоПериода                             

","{
  ""InformationRegisters"": [
    {
      ""id"": ""ПериодыРемонтаСкладов"",
      ""name"": ""Периоды ремонта складов"",
      ""InformationRegisterPeriodicity"": null,
      ""WriteMode"": ""Independent"",
      ""Dimensions"": [
        {
          ""id"": ""Склад"",
          ""name"": ""Склад"",
          ""types"": [
            {
              ""type"": ""Ref"",
              ""id"": ""Справочник.Склады""
            }
          ]
        },
        {
          ""id"": ""Начало"",
          ""name"": ""Начало"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        },
        {
          ""id"": ""Окончание"",
          ""name"": ""Окончание"",
          ""types"": [
            {
              ""type"": ""Date""
            }
          ]
        }

      ],
      ""Resources"": []
    }
  ]
}
 
",task_019,server
"Создай функцию СформироватьОтчетПолучитьОстаток(Склад, Товар, Строка, Колонка) которая формирует отчет на сервере ""ОстаткиТоваровНаСкладах"" с отбором по складу и товару, 
и возвращает числовое значение из указанной ячейки табличного документа.  

Отчет ОстаткиТоваровНаСкладах сделан на СКД, основная схема которого имеет поля Склад и Товар для отбора.

Параметры функции:
- Склад - ссылка на элемент справочника Склады для отбора
- Товар - ссылка на элемент справочника Товары для отбора
- Строка - номер строки в табличном документе
- Колонка - номер колонки в табличном документе

Возвращаемое значение: целое число из указанной ячейки табличного документа.                           

",,task_020,server
